Income,Age,CreditScore,LoanAmount,EmploymentYears,LoanStatus
25000,22,550,200000,1,Rejected
35000,25,600,150000,2,Rejected
50000,30,680,200000,5,Approved
60000,35,720,250000,7,Approved
45000,28,650,180000,4,Approved
20000,21,500,250000,1,Rejected
70000,40,750,300000,10,Approved
30000,24,580,180000,2,Rejected
55000,32,700,220000,6,Approved
28000,23,540,200000,1,Rejected
80000,45,780,350000,15,Approved
40000,27,620,170000,3,Rejected
65000,38,730,280000,9,Approved
32000,26,590,160000,2,Rejected
75000,42,760,300000,12,Approved
